link|block
"Про це повідомляє Голос Америки.""Незважаючи на загальноприйняте уявлення, Путін не завжди шукає нову країну для вторгнення, або прагне розпочати війну в 2019 році"", - йдеться в дослідженні. Однак, Путін переконаний, що Росія мусить мати право вирішувати українське майбутнє, наголошують аналітики.Кремль намагатиметься послабити певних кандидатів на українських виборах та посилити вплив проросійських політиків та бізнесменів, йдеться в дослідженні. Все ж, в Eurasia Group очікують на перемогу прозахідних політиків на виборах в Україні.Суперечки навколо розподілу майна церков, доступ до Керченської протоки та Азовського моря, а також статус відокремлених територій можуть стати причиною посилення протистояння, однак, аналітики не очікують нарощування бойових дій через загрозу посилення санкцій проти Росії. Аналітики все ж припускають, що США та ЄС запровадять нові санкції проти Росії через її втручання до українських виборів або дії в Азовському морі.Ось повний перелік основних ризиків для світу цього року за версією Eurasia.Паростки кризи. Політики настільки зайняті вирішенням сьогоденних питань, що не помічають ризиків, через які можуть постати у кризу в майбутньому.Відносини США та Китаю. Довіри між двома сторонами практично немає і як Китай, так і США починають послаблювати зв'язки між цими країнами.Кібервійна ""без рукавичок"". Цього року, США будуть більш жорстко впроваджувати свою політику в кіберсфері, що може посилити протистояння в цій сфері.Популізм в Європі. В травні в ЄС будуть парламентські вибори і євроскептики отримають більше місць. Це може зашкодити здатності ЄС ефективно оперувати.читайте також: В Україні заборонили одразу 5 ліків від тиску, знеболювальне, вітаміни та препарат для ШКТВнутрішня політика США. Політична нестабільність у США є надзвичайно високою.Замороження інновацій. Кількість коштів та трудових ресурсів сфери високих технологій буде зменшуватись, прогнозують аналітики. Вони наводять три причини для цього: зменшення залежності від закордонних постачальників через загрози кібершпигунства, занепокоєння стосовно захисту приватності даних, більш жорстке регулювання урядом правил поводження з даними громадян, економічні проблеми, що сприятимуть більшому регулюванню галузі.Коаліція небажаючих. Президент США Трамп скептично ставиться до ролі Вашингтона в захисті світового правопорядку і низка світових лідерів підтримують його в цьому небажанні.Мексика. Новий президент Мексики Андрес Обрадор провадить активну політику зі збільшення ролі держави в політичному циклі, що може підвищити політичні ризики в Мексиці.Україна. Росія намагається впливати на майбутнє Києва і втручатиметься до березневих виборів в Україні з метою зашкодити, чи підтримати певних кандидатів.Нігерія. Цього року в країні відбудуться найбільш конкурентні вибори з часу переходу країни до демократії в 1999 році.Нагадаємо, патріарх Кирило стверджує, що Антихрист прийде через Інтернет"|46
"Про це повідомляє dtр.kiеv.uа.
За словами свідків, один з учасників аварії знаходиться в стані алкогольного сп'яніння.
Сталася бійка. Три смуги руху перекрили, об'їзд відбувається по тротуару.
Подробиці події і детальна інформація про постраждалих уточнюються. Очікується прибуття співробітників поліції.
Нагадаємо, на Харківщині поїзд на смерть травмував 41-річну жінкучитайте також: Знайшли мертвим батька відомого футболіста"|47
"Про це повідомила прес-служба ""Мислова"".Зазначається, що грецьке слово ""томос"", яке донедавна було відомим лише вузькому колу обізнаних на релігійній термінології людей, торік викликало найбільший суспільний інтерес.Вперше в українському публічному просторі воно з'явилось у квітні 2018 року, коли президент України Петро Порошенко попросив парламент підтримати його звернення до Вселенського патріарха щодо надання томосу (указу) про Українську помісну автокефальну церкву. Відтоді інтерес до цього слова з боку українських медіа та суспільства лише зростав, і у грудні українці назвали об'єднання церкви та надання томосу головною політичною подією року.Також на звання слова року претендували:євробляхи &mdash; слово, яке перекочувало у цьогорічний шортліст з торішнього і продовжило хвилювати значну частину українського суспільства;безкарність &mdash; напади на журналістів та активістів стали ще зухвалішими та жорстокішими, а розслідування цих злочинів не ведуться належним чином;агресія &mdash; через агресію Росії у Керченській протоці, коли російські військові обстріляли кораблі ВМС України та захопили у полон українських моряків;читайте також: У ЗСУ пояснили, чому Росія не наважилася на подальшу ескалаціювоєнний стан &mdash; запровадження воєнного стану внаслідок агресії РФ сколихнуло українське суспільство. Проте через його вкрай обмежений характер цей вираз не став визначальним у 2018 році;новічок &mdash; слово року-2018 у Росії, яке не сходило з передовиць провідних світових видань та стало символом політики Кремля.Словник ""Мислово"" створений у 2012 році з метою фіксації неологізмів, сленгу та інших проявів сучасної української мови. Слова та тлумачення до них надсилають звичайні користувачі.""Мислово"" обирає слово року вшосте. Словом року-2013 став ""євромайдан"", 2014-го &mdash; ""кіборги"", 2015-го &mdash; ""блокада"", 2016-го &mdash; ""корупція"", а 2017-го &mdash; ""безвіз"".Нагадаємо, томос відвезуть назад до Стамбула, - Мінкульт"|48
"Як повідомляє Крим. Реалії з посиланням на дані ""Крименерго"", без електропостачання залишалися понад 6 тисяч абонентів у 17 населених пунктах, з них 6 були знеструмлені частково.Найбільше постраждали Ленінський район і Керч, також були зафіксовані відключення у Червоногвардійському, Кіровському і Сімферопольському районах.""Доступ техніки до місць аварійно-відновлювальних робіт утруднений через сильний сніг, в якому грузнуть машини"", - повідомили у ""Крименерго"".На 7 січня у Криму оголосили екстрене попередження через сильні опади.читайте також: У ЗСУ пояснили, чому Росія не наважилася на подальшу ескалаціюВвечері у понеділок в ""Крименерго"" заявили, що станом на 18:50 (за московським часом) знеструмлених населених пунктів немає.""Причиною технологічних порушень в електричних мережах кількох районів Криму стали вітер і рясний сніг з налипанням і ожеледними відкладеннями"", - повідомили в компанії.Нагадаємо, через снігові замети припинено рух на 5 автодорогах"|49
"""За словами машиніста пасажирського поїзда... прибуваючи на станцію в місті Первомайський Харківської області, в останній момент він побачив на коліях жінку. Машиніст вжив заходів екстреного гальмування, однак уникнути наїзду на потерпілу не зміг. Від отриманих травм 41-річна жінка померла на місці"", - повідомляє відділ комунікацій ГУ Нацполіції в Харківській області.
Відомості про подію внесено до Єдиного реєстру досудових розслідувань за ч. 3 ст. 276 (порушення правил безпеки руху або експлуатації залізничного, водного або повітряного транспорту) Кримінального кодексу України.
Санкція статті передбачає покарання у вигляді позбавлення волі терміном від п&rsquo;яти до десяти років.о
Нагадаємо, рятувальники знайшли мертвим одного з туристів, які загубилися в Карпатахчитайте також: У ЗСУ пояснили, чому Росія не наважилася на подальшу ескалацію"|50
"Про це повідомляє&nbsp;УНН&nbsp;з посиланням на відділ комунікації обласного управління поліції.
""Тіла господаря, двох чоловіків та жінки з ознаками насильницької смерті були виявлені сьогодні в приватному будинку в одному з сіл району"", &ndash; йдеться в повідомленні.
Через це весь особовий склад Ізмаїльського відділу поліції було піднято по тривозі. На місці події працюють поліцейські місцевого відділу поліції, експерти, кінологи, патрульні поліцейські, працівники Головного управління НП в Одеській області та співробітники прокуратури.
""За даним фактом Ізмаїльським ВП розпочато кримінальне провадження за ознаками ч.2 ст. 115 КК України (вбивство двох або більше осіб)"", &ndash; прокоментували в поліції.
Читайте також: На Харківщині поїзд на смерть травмував 41-річну жінкучитайте також: Знайшли мертвим батька відомого футболіста"|51
"Як повідомили в управління ДСНС у Закарпатській області, загубленого туриста з другої групи знайшли близько 15:40.
Чоловіка, 1984 року знайдено у задовільному стані. Зараз тривають пошуки його товариша.
Як з&rsquo;ясували рятувальники, під час блукання у горах вони вирішили розділитись та пішли у різні сторони.
Пошукова операція триває.
Нагадаємо, рятувальники знайшли мертвим одного з туристів, які загубилися в Карпатахчитайте також: Знайшли мертвим батька відомого футболіста"|52
"Як повідомляють ""Новини Вінниці"", храм розташований на території училища Департаменту поліції охорони МВС.Свій вчинок Парандюк пояснив тим, що його ""виселяють"" з відомчої території.За словами священика, громада храму ""15 років встановлювала купол"", а нині ""через відмову переходити до ПЦУ"" його демонтували.Розірвання договору-оренди приміщення храму та розторгнення договірних відносин з єпархією щодо проведення служб у відомчому приміщенні ініціювало керівництво навчального закладу МВС.читайте також: У ЗСУ пояснили, чому Росія не наважилася на подальшу ескалацію""Ієрей став відомим у місті через відверто проросійську позицію та агресію до ПЦУ. До Об&rsquo;єднавчого собору він намагався чинити тиск на правлячого архієрея, звинувачувати його та створювати ""опозицію"". ... Він продовжує налаштовувати вірян на супротив, підбурювати їх і розповсюджувати фейки про міфічні ""захвати церков"", - зазначає ЗМІ.Нагадаємо, на Львівщині ще одна церковна громада покинула Московський патріархат"|53
Про це повідомив Радіо Свобода настоятель храму отець Петро.Документ, написаний на Афоні грецькою мовою на пергаменті, поклали між товстими шарами скла, наблизитися до нього впритул або доторкнутися неможливо. Цьому запобігають охоронці, які, за словами настоятеля храму, є працівниками Державної служби охорони. Фотографувати томос дозволяють.&laquo;Це дуже важлива реліквія, має велику цінність для церкви для держави. Далі ми подумаємо, де його гарно покласти, можливо, буде зроблена копія. Ми тільки вночі сьогодні прилетіли. Що було, на тому і вирішили зупинитися. Крім того, сьогодні Різдво і хотіли пов'язати одне з іншим. Завтра ми це все вирішимо, буде збиратися керівництво і вирішить, як і що далі буде&raquo;, &ndash; сказав отець Петро в трансляції Радіо Свобода з храму Малої Софії.читайте також: Знайшли мертвим батька відомого футболістаПодивитися на Томос прийшли сотні людей, черга з охочих вибудувалася далеко за межі воріт Софії Київської.Нагадаємо, Томос про автокефалію Православної Церкви України повернеться на деякий час до Стамбула для підпису членами синоду Вселенського патріархату.|54
"Про це повідомив&nbsp;очільник поліції Одещини Дмитро Головін у Facebook.&nbsp;
""Дякую оперативникам, які вкотре довели свою професійність. Підозрюваного у вбивстві чотирьох жителів Ізмаільського району затримано. Зараз вживаємо заходи по встановленню обставин події"", - сказано у пвоідомлені.&nbsp;Нагадаємо, у&nbsp;приватному будинку&nbsp;на Одещині знайшли чотири трупи.
Тіла господаря, двох чоловіків та жінки з ознаками насильницької смерті були виявлені сьогодні в приватному будинку в одному з сіл району.читайте також: Палестинські бойовики обстріляли Ізраїль: уже 108 жертв"|55
"Про це в коментарі ""112 Україна"" повідомив начальник Управління департаменту консульської служби Міністерства закордонних справ України Василь Кирилич.
""В територіальних водах Туреччини затонуло вантажне судно, яке ходило під прапором Панами. В результаті удару хвилі судно не витримало, розламалося і почало тонути. Команда дала берегової охорони сигнал про порятунок"", &ndash; зазначив Кирилич.
Нагадаємо, вантажне судно під прапором Панами, вийшло з російського азовського порту, відправило сигнал лиха приблизно в 148 км (92 милях) від північно-східної чорноморської провінції Самсун. Зазначалося, що в результаті трагедії загинули 4 українця, ще 7 постраждалих вдалося врятувати.
Нагадаємо, внаслідок аварії вантажного судна в Чорному морі біля берегів Туреччини загинули шестеро людей.читайте також: В Україні заборонили одразу 5 ліків від тиску, знеболювальне, вітаміни та препарат для ШКТ"|56
"""Я думаю, що ми зможемо вітати лоукост-авіакомпанії Ryanair і Wizz Air в Одесі вже влітку цього року"", &mdash; сказав він, передає Дзеркало тижня.При цьому Омелян підкреслив, що для заходу цих авіакомпаній в Одесу необхідно завершити ремонтні роботи в аеропорту.Як повідомлялося, новий міжнародний&nbsp;термінал аеропорту ""Одеса"" зможе обслуговувати 1 тис. пасажирів на годину або близько 3 млн пасажирів в рік.Його площа становитиме понад 30 тис. кв. м, що відповідає п'яти футбольним полям. Тут буде чотири телескопічних трапи і 1300 паркувальних місць. У планах аеропорту &ndash; співпраця з 23 авіакомпаніями, які будуть виконувати прямі рейси з Одеси за 30 напрямками.читайте також: Лавров пов'язує головну загрозу Росії із законом про УкраїнуМіжнародний аеропорт ""Одеса"" входить в трійку найбільших аеропортів України. Його пасажиропотік перевищує 1 млн пасажирів в рік. Аеропорт здатний приймати повітряні судна коду 4D і нижче, а також вертольоти всіх типів.Нагадаємо, вчора, 6 січня, у&nbsp;Львівському аеропорту літак викотився за межі злітної смуги"|57
"Як повідомили у Південному регіональному управлінні Державної прикордонної служби України, 6 січня прикордонники Ізмаїльського загону затримали громадянина Молдови, який намагався перетнути кордон у пункті пропуску &laquo;Долинське&raquo;, пише УНІАН.
Відзначається, що, згідно з базою даних Інтерполу, чоловіка розшукують правоохоронні органи Румунії за контрабандну діяльність.
Про затримання повідомлено чергового Укрбюро Інтерполу (Київ), зловмисника передано співробітникам Національної поліції.
Читайте також: У поліції розповіли, як минула ніч на Різдвочитайте також: Палестинські бойовики обстріляли Ізраїль: уже 108 жертв"|58
"Про це повідомляє Daily Sabah з посиланням на місцеву владу, передає&nbsp;УНН.
""Шість людей загинули, усі тіла підняті із води"", - йдеться в повідомленні.
У МЗС України повідомили, що&nbsp;береговою охороною Туреччини було оперативно вжито належних заходів після отримання&nbsp;сигналу про аварію.&nbsp;&nbsp;На жаль, 4 українців загинули.&nbsp;
Витрати на лікування постраждалих внаслідок аварії вантажного судна у&nbsp;берегів&nbsp;Туреччини сімох громадян України візьме на себе страхова компанія.читайте також: Перемога над підлістю: шашкіст, якого Росія дискваліфікувала за вишиванку, став чемпіоном світу"|59
Про це повідомило видання&nbsp;Meduza.Понад 10% цього типу літаків виробляються саме у США, тому для постачання лайнерів необхідно отримати відповідний дозвіл американської влади. Та кремлівська сторона ірано-російської угоди не змогла його отримати. Російський виробник тепер намагатиметься зменшити у процесі виробництва літаків кількість американських складників, але це точно не швидкий процес.&nbsp;Нагадаємо, Іран уклав попередню угоду з РФ про закупівлю 40 літаків&nbsp;SSJ-100 для місцевих авіаліній, адже авіапарк іранських перевізників через багаторічні санкції &ndash; які включали і заборону постачання авіатехніки та запчастин &ndash; перебуває у вкрай незадовільному технічному стані. Влада Ірану оголосила про потребу у 500 літаків. Коли санкції було знято у 2016 році, іранцям вдалося домовитися про закупівлю 100 літаків&nbsp; Airbus і&nbsp;80 Boeing, однак угоди були також заблоковані &ndash; у 2018 році президент США Дональд Трамп поновив санкції щодо Ірану, попри незгоду Євросоюзу.читайте також: Українців чекає аномально тепла зима: прогноз на два місяціДо слова,&nbsp;Sukhoi Superjet 100 неодноразово фігурував у авіаскандалах. Наприклад,&nbsp;у&nbsp;Мексиці у&nbsp;2016&nbsp;році&nbsp;через застереження до технічного стану літаків&nbsp;скасували їх рейси,&nbsp;паралельно влаштувавши інспекцію. А у травні 2012 року взагалі трапилася трагедія &ndash; літак&nbsp;розбився у горах Індонезії.|60
"Обмеження на в'їзд діє на ділянках&nbsp;автомобільних доріг. Про це повідомляє Громадське.
&mdash; М-14 Одеса-Мелітополь-Новоазовськ, км 475+500 &ndash; км 557+000;
&mdash; Н-30 Василівка &ndash; Бердянськ, км 45+000 &ndash; км 143+000.
Наразі в області випало 15-20 см снігу.
6 грудня Укравтодор повідомляв, що ускладнень на&nbsp;дорогах державного значення&nbsp;&mdash; немає.
Раніше жителів східних і частини південних областей України&nbsp;попереджували про ускладнення погодних умов.&nbsp;У ДСНС зазначали, що такі погодні умови можуть призвести до порушень електропостачання, руху транспорту на окремих ділянках доріг та вулиць, ускладнення роботи комунальних служб та будівельної галузі.
Читайте також: У Карпатах досі шукають туристів, які заблукали на Святвечірчитайте також: Знайшли мертвим батька відомого футболіста"|61
"Про це у Twitter повідомив український посол у Туреччині Андрій Сибіга.""Сьогодні вранці біля берегів Самсуна через погодні умови затонуло торгове судно.З 13 членів екіпажу 11 були громадянами України.Береговою охороною було оперативно вжиті належні заходи. На жаль, не вдалося врятувати 4 наших співвітчизників.Решту 7 членів екіпажу доправлено до різних лікарень міста Самсун. Постраждалих відвідав губернатор провінції, вони перебувають під належним наглядом. До Самсуна виїхав консул. Висловлюємо щирі співчуття родинам загиблих та сподіваємось на якнайшвидше одужання постраждалих"", - написав він.1/1Туреччина. Сьогодні вранці біля берегів Самсуна через погодні умови затонуло торгове судно.З 13 членів екіпажу 11 були громадянами України.Береговою охороною було оперативно вжиті належні заходи. На жаль, не вдалося врятувати 4 наших співвітчизників.читайте також: У ЗСУ пояснили, чому Росія не наважилася на подальшу ескалацію&mdash; Andrii Sybiha ?? (@andrii_sybiha) January 7, 2019Нагадаємо, поблизу Туреччини затонуло вантажне судно з українцями на борту"|62
"Як&nbsp;повідомили&nbsp;у ДСНС Закарпатської області, його тіло знайшли у понеділок, 7 січня, об 11:50. Загиблого доставлять до найближчого населеного пункту.Нагадаємо, ввечері 6 січня троє туристів, які займались фрірайдом на вершині гори Гемба, через погану видимість&nbsp;втратили орієнтири та заблукали.
Двох знайшли о 00:15. Вони повідомили, що їхній товариш не зміг продовжити з ними маршрут та залишився чекати на допомогу у горах.читайте також: ""Лежачий"" Янукович пробув у лікарні, куди його доправили з травмою, трохи більше години"|63
"Про це повідомили берегова охорона та місцева влада, пише Українська правда з посиланням на&nbsp; Reuters.
Судно з панамським прапором, що вирушило з російського порту в Азовському морі, надіслало сигнал за близько 148 кілометрів від берегів турецької провінції Самсун.
Тринадцять членів екіпажу перебували на балкері, зокрема дев'ять громадян України, двоє громадян Азербайджану та двоє росіян.
&nbsp;Берегова охорона заявила, що сигнал лиха попереджав про можливість затоплення судна.
Сім членів екіпажу були врятовані на цей момент, операція з пошуку та порятунку тривала стосовно інших чотирьох осіб, сказала берегова охорона.
Операція виконувалася за допомогою літака, двох вертольотів і двох човнів, повідомляє агентство.
Читайте також: Рятувальники знайшли мертвим одного з туристів, які загубилися в Карпатахчитайте також: В Україні заборонили одразу 5 ліків від тиску, знеболювальне, вітаміни та препарат для ШКТ"|64
"Про це повідомив керівник департаменту у справах релігій і національностей Міністерства культури Андрій Юраш в ході трансляції на українських телеканалах з Софійського собору в понеділок у Києві, передає ""Інтерфакс-Україна"".""Томос буде до вечора (понеділка - ІФ) виставлений для того, щоб хто захоче, міг підійти і побачити цей унікальний документ... Найближчими днями він повернеться до Стамбула до Константинопольського патріархату, оскільки зараз він підписаний тільки Вселенським патріархом (Варфоломієм - ІФ). Потім там повинні бути підписи всіх членів Вселенського найсвятішого синоду патріархату"", - сказав він.""Буквально через два дні відбудеться синод, де буде це зроблено, і тоді вже томос, остаточно і назавжди, повернеться в Україну і буде зберігатися в особливих умовах"", - додав Юраш.Нагадаємо, 5 січня у Стамбулі відбулося&nbsp;підписання томоса про автокефалію&nbsp;Православної Церкви України. Згодом було оприлюднено&nbsp;повний текст&nbsp;томоса.читайте також: Перемога над підлістю: шашкіст, якого Росія дискваліфікувала за вишиванку, став чемпіоном світу6 січня Вселенський патріарх&nbsp;Варфоломій у Стамбулі передав томос&nbsp;про автокефалію ПЦУ митрополиту Київському і всієї України Епіфанію.7 січня&nbsp;томос представлено&nbsp;у Софійському соборі в Києві.&nbsp;"|65
"Станом на 10:00 7 січня переважна частина святкових богослужінь уже завершилася.
&laquo;Загалом на території держави богослужіння відбулися у понад 12,2 тисячі культових споруд із запланованих 14,4 тисячі. Участь у них взяли майже 4 мільйони людей. Заходи з нагоди Різдва тривають у близько 2,2 тисячі храмів&raquo;, &ndash; заявили в поліції.
Згідно з повідомленням, охорону публічної безпеки і порядку здійснювали близько 15,5 тисяч правоохоронців.
Читайте також: Аварія вантажного судна: загинуло четверо українцівчитайте також: Знайшли мертвим батька відомого футболіста"|66
"Леся Цуренко&nbsp;стала четвертою українкою, якій вдалося увійти в число 25 найсильніших тенісисток в класифікації WTA. Кращий результат Наталії Медведєвої &ndash; 23 рядок, у Альони Бондаренко &ndash; 19-а, у Еліни Світоліної &ndash; 3.Рекорд в оновленому рейтингу Цуренко забезпечив вихід у її дебютний в кар'єрі фінал на турнірах серії ""Прем'єр"" в Брісбені. У вирішальному матчі Леся&nbsp;зазнала поразки&nbsp;від п'ятої сіяної Кароліни Плішкової з Чехії.
Еліна Світоліна&nbsp;провалила захист титулу в Брісбені і опустилася на шосте місце, пропустивши вперед Наомі Осаку і Слоан Стівенс.
З новим рекордом цей тиждень також починає&nbsp;Марта Костюк&nbsp;&ndash; 116 місце.
Українські тенісистки в топ-200 рейтингу WTAДо слова, українська Даяна Ястремська тенісистка здолала досвідчену німкеню на турнірі у Хобарті.читайте також: У Міністерстві культури розповіли, яка доля чекає Почаївську лавру"|67
"Художник застосовує техніку письма акриловими фарбами на полотні та приділяє дуже багато уваги деталям.Фото своїх робіт він публікує на власному&nbsp;сайті, передає 24 канал.У своїх роботах митець вимальовує кожну веснянку, волосинку та пору, повністю відображаючи&nbsp;текстуру шкіри.Художник малює акриловими фарбами на полотніМені подобається створювати власні структури, контрольовані вибухи речовини, що формуються, поки я не зупиню, &ndash; пише 35-річний автор картин.Однак те, що дійсно робить його роботи&nbsp;унікальними &ndash; це його здатність зображувати справжні емоції в&nbsp;картинах.Автор самостійно створює структуричитайте також: ""Лежачий"" Янукович пробув у лікарні, куди його доправили з травмою, трохи більше годиниВідтак, у жанрі фотореалізму зображують не тільки портрети людей, а й різноманітні натюрморти. Велику популярність здобули серії його робіт, що зображують різні солодощі та торгові автомати.Я можу знайти натхнення у всьому. Побачити сцену, яка приверне мою увагу в будь-якому місці й на будь-якої фотографії цього місця або ж навіть взяти суть цієї сцени та створити абсолютно нову композицію,&ndash; розповів&nbsp;Лауреано.Він працює у жанрі фотореалізмуДо слова, художник&nbsp;із Черкас створив обкладинку та ілюстрації для альбома Елтона Джона."|68
"Про це повідомляє&nbsp;УНН&nbsp;з посиланням на прес-службу ДСНС.
""О 13:30 7 січня один із туристів вийшов на зв'язок, доля ще одного туриста на даний час лишається невідомою. Пошуки тривають"", &ndash; йдеться в повідомленні.
Нагадаємо, Різдвяна ніч була тривожною для гірських рятувальників Закарпаття, адже впродовж вечора 6 січня до них надійшло два повідомлення про загублення туристів. Загалом&nbsp;загубилися 5 осіб. Рятувальники розпочали пошуки трьох з них.
Сьогодні, 7 січня, в обід рятувальники&nbsp;знайшли тіло&nbsp;одного з трьох зниклих туристів.читайте також: ""Лежачий"" Янукович пробув у лікарні, куди його доправили з травмою, трохи більше години"|69
Про це інформує&nbsp;прес-служба&nbsp;ДСНС у Закарпатській області.Так, там повідомляють, що перший виклик надійшов до Служби порятунку 6 січня о 17:00 від туристів, які займались фрірайдом на вершині гори Гимба Міжгірського району.В умовах поганої видимості вони втратили орієнтири та заблукали. На їхні пошуки відразу &nbsp;направили відділення гірських пошуковців.Підтримуючи із заблукалими телефонний зв&rsquo;язок, рятувальники порадили чоловікам рухатися у бік села&nbsp;Березники Свалявського району, однак ті, знехтували рекомендаціями рятувальників, та вирішили підійматись крутими схилами у бік вершини гори,&nbsp;&ndash; зазначають у ДСНС.Аж о 00:15 рятувальники знайшли двох туристів і ті повідомили, що&nbsp;їхній товариш не зміг продовжити з ними маршрут&nbsp;та залишився чекати на допомогу у горах. Залишивши рятувальникам GPS-координати третього, туристи були доправлені до місця їх тимчасового проживання.читайте також: Палестинські бойовики обстріляли Ізраїль: уже 108 жертвРятувальники ж, своєю чергою,&nbsp;продовжили шукати третього долучивши до пошукових робіт ще два гірські пошукові-рятувальні відділення.&nbsp;Близько третьої години ранку професіонали ДСНС знайшли лижну маску та палиці заблукалого, однак його поруч не виявили.&nbsp;Того ж вечора, 6 січня, до Служби порятунку надійшло ще одне повідомлення про те, що в районі гори Гимба заблукали двоє лижників. Сповістила про це рятувальників о 20:20 дружина одного з туристів. Мобільний зв&rsquo;язок із заблукалими відсутній,&ndash; додають у екстреній службі.Загалом до пошуків залучено 16 рятувальників та 3 одиниці техніки.|70
